Сфера (Industry),Подсфера (Sub-sector),Операция по телефону (Phone Operation),Тип (Type),Для чего / Use Case (Purpose),Возможные интеграции (Integrations)
Healthcare,Hospitals & Clinics,Запись на прием (Appointment scheduling),Inbound,"Scheduling patient visits, managing doctor calendar, reducing 3.5 calls per booking to 1","EHR/EMR (Epic, Cerner, Meditech, Allscripts), Calendar systems (Google, Outlook), SMS notification services, Patient portals"
Healthcare,Hospitals & Clinics,Перезапись/отмена приема,Inbound,"Rescheduling appointments, managing cancellations","EHR/EMR systems, Calendar APIs, SMS confirmations"
Healthcare,Hospitals & Clinics,Запрос рецептов (Prescription refills),Inbound,"Refilling medications, routing to pharmacy","Pharmacy management systems, EHR prescription modules, E-prescribing systems"
Healthcare,Hospitals & Clinics,Результаты анализов (Lab results),Inbound,Providing non-critical test results to patients,"Lab information systems (LIS), EHR results portal, Secure messaging"
Healthcare,Hospitals & Clinics,Верификация страховки,Inbound,"Verifying insurance coverage, eligibility checks","Insurance clearinghouses (Availity, Change Healthcare), Payer APIs, EHR insurance modules"
Healthcare,Hospitals & Clinics,Вопросы по счетам,Inbound,"Billing inquiries, payment arrangements","Medical billing systems (Kareo, AdvancedMD), Payment processors, Patient accounting"
Healthcare,Hospitals & Clinics,Напоминания о приеме,Outbound,"Reducing no-shows, confirming appointments 24-48h before","EHR appointment schedules, SMS/Voice notification platforms, Calendar integrations"
Healthcare,Hospitals & Clinics,Уведомления о результатах,Outbound,Notifying patients of test results,"Lab systems, EHR, Secure messaging platforms"
Healthcare,Hospitals & Clinics,Опросы удовлетворенности,Outbound,"Collecting patient feedback, HCAHPS surveys","Survey platforms, CRM systems, Quality management tools"
Healthcare,Private Practices,Запись на консультацию,Inbound,Scheduling consultations with specialists,"Practice management software (Athenahealth, DrChrono), Calendars"
Healthcare,Dental Practices,Запись к стоматологу,Inbound,"Scheduling dental appointments, cleanings, procedures","Dental practice management (Dentrix, Eaglesoft, Open Dental), Calendars, SMS"
Healthcare,Dental Practices,Напоминания о визитах,Outbound,Reducing no-shows for dental appointments,"Dental PM systems, Automated reminder services"
Healthcare,Pharmacies,Статус рецепта,Inbound,"Checking prescription status, refill readiness","Pharmacy management systems (QS/1, PioneerRx), Prescription databases"
Healthcare,Pharmacies,Доставка лекарств,Inbound,Coordinating home delivery of medications,"Pharmacy systems, Delivery management, Route optimization"
Healthcare,Labs & Diagnostics,Запись на анализы,Inbound,"Scheduling lab tests, specimen collection","Lab information systems, Appointment scheduling"
Banking & Finance,Retail Banking,Проверка баланса (Balance inquiry),Inbound,"Checking account balance, recent transactions","Core banking systems (Temenos, FIS, Fiserv), Mobile banking APIs, Account databases"
Banking & Finance,Retail Banking,История транзакций,Inbound,Reviewing transaction history,"Core banking, Transaction databases, Mobile banking"
Banking & Finance,Retail Banking,Активация карты (Card activation),Inbound,Activating new debit/credit cards,"Card management systems, Core banking, Mobile apps"
Banking & Finance,Retail Banking,Сброс PIN,Inbound,Resetting card PIN codes,"Card management systems, IVR systems, Security protocols"
Banking & Finance,Retail Banking,Блокировка карты,Inbound,Blocking lost/stolen cards,"Card management, Fraud systems, Real-time processing"
Banking & Finance,Retail Banking,Онлайн-банкинг поддержка,Inbound,Technical support for online/mobile banking,"Digital banking platforms, Help desk systems, Knowledge bases"
Banking & Finance,Retail Banking,Оповещения о мошенничестве,Outbound,"Fraud alert verification, suspicious activity confirmation","Fraud detection systems, Real-time analytics, SMS/Voice platforms"
Banking & Finance,Retail Banking,Напоминания о платежах,Outbound,"Payment due reminders, overdue notifications","Core banking, Payment systems, CRM"
Banking & Finance,Retail Banking,Опросы клиентов,Outbound,"Customer satisfaction surveys, NPS collection","Survey platforms, CRM (Salesforce, Dynamics)"
Banking & Finance,Credit Cards,Активация кредитной карты,Inbound,Activating new credit cards,"Credit card platforms, Core banking"
Banking & Finance,Credit Cards,Программа лояльности,Inbound,"Checking rewards points, redemption options","Loyalty platforms, Rewards management"
Banking & Finance,Loans & Mortgages,Статус заявки на кредит,Inbound,Checking loan/mortgage application status,"Loan origination systems (Encompass, Calyx Point), Document management"
Banking & Finance,Loans & Mortgages,Предварительное одобрение,Inbound,"Pre-qualification questions, initial screening","Credit bureaus APIs, Loan calculators, Decision engines"
Banking & Finance,Loans & Mortgages,График платежей,Inbound,"Payment schedule inquiries, payoff quotes","Loan servicing systems, Amortization calculators"
Banking & Finance,Insurance (Financial),Запрос котировки,Inbound,"Getting insurance quotes, policy information","Insurance platforms, Quote engines, CRM"
E-commerce & Retail,Online Stores,Отслеживание заказа (Order tracking),Inbound,"Checking order status, delivery ETA","E-commerce platforms (Shopify, WooCommerce, Magento), Shipping APIs (FedEx, UPS, DHL), Order management systems"
E-commerce & Retail,Online Stores,Информация о товаре,Inbound,"Product specifications, availability, pricing","Product catalogs, Inventory management, PIM systems"
E-commerce & Retail,Online Stores,Возврат/обмен (Returns),Inbound,"Processing returns, exchanges, refunds","Return management systems, E-commerce platforms, Payment processors"
E-commerce & Retail,Online Stores,Проблемы с оплатой,Inbound,"Payment failures, alternative payment methods","Payment gateways (Stripe, PayPal, Square), Fraud detection"
E-commerce & Retail,Online Stores,Подтверждение заказа,Outbound,"Order confirmation, payment confirmation","E-commerce platforms, Email/SMS services, Order management"
E-commerce & Retail,Online Stores,Уведомления о доставке,Outbound,"Shipping notifications, delivery updates","Shipping carriers APIs, Tracking systems, Notification services"
E-commerce & Retail,Online Stores,Брошенная корзина,Outbound,"Cart abandonment follow-up, recovery","E-commerce analytics, Marketing automation, CRM"
E-commerce & Retail,Marketplaces,Статус заказа продавца,Inbound,Multi-seller order management,"Marketplace platforms (Amazon, eBay APIs), Seller tools"
E-commerce & Retail,Food Delivery,Статус доставки еды,Inbound,"Delivery ETA, driver location","Delivery platforms (DoorDash, Uber Eats APIs), GPS tracking"
E-commerce & Retail,Food Delivery,Изменение заказа,Inbound,Modifying orders before preparation,"Restaurant POS, Order management, Kitchen display systems"
Real Estate,Agencies,Запрос информации о недвижимости,Inbound,"Property details, pricing, availability","MLS systems, Property databases, CRM (Follow Up Boss, kvCORE, LionDesk)"
Real Estate,Agencies,Запись на просмотр,Inbound,Scheduling property viewings,"Calendar systems, MLS, Showing scheduling tools (ShowingTime)"
Real Estate,Agencies,Вопросы о финансировании,Inbound,"Mortgage pre-qualification, financing options","Mortgage calculators, Lender APIs, Financial tools"
Real Estate,Agencies,Информация о районе,Inbound,"Neighborhood info, schools, amenities","MLS data, Local databases, Google Maps API"
Real Estate,Agencies,Холодные звонки FSBO,Outbound,Prospecting For Sale By Owner leads,"FSBO databases, Lead management, CRM"
Real Estate,Agencies,Просроченные листинги,Outbound,Following up on expired listings,"MLS expired listing data, CRM"
Real Estate,Agencies,Подтверждение просмотра,Outbound,Confirming viewing appointments,"Calendar systems, SMS services, CRM"
Real Estate,Agencies,Обновления цен,Outbound,"Price drop notifications, new listings alerts","MLS, Email/SMS marketing platforms, CRM"
Real Estate,Property Management,Заявки на ремонт,Inbound,Tenant maintenance requests,"Property management software (AppFolio, Buildium, Propertyware), Work order systems"
Real Estate,Property Management,Вопросы по аренде,Inbound,"Rent payment inquiries, lease questions","Property management systems, Payment portals"
Real Estate,Commercial Real Estate,Информация об инвестициях,Inbound,"Investment property inquiries, ROI calculations","Commercial databases (CoStar, LoopNet), Financial modeling tools"
Insurance,Health Insurance,Вопросы о покрытии,Inbound,"Coverage details, benefits verification","Insurance platforms (Guidewire, Duck Creek), Payer systems, Member portals"
Insurance,Health Insurance,Статус заявки (Claims),Inbound,"Checking claim status, processing timeline","Claims management systems, EDI systems"
Insurance,Health Insurance,Сеть провайдеров,Inbound,"Finding in-network doctors, hospitals","Provider directories, Network databases, APIs"
Insurance,Health Insurance,Предварительное разрешение,Inbound,Pre-authorization for procedures,"Utilization management systems, Clinical databases"
Insurance,Health Insurance,Обновления по заявкам,Outbound,"Claim status updates, payment notifications","Claims systems, Payment processing, Notification platforms"
Insurance,Health Insurance,Запросы документов,Outbound,Missing documentation requests,"Document management, ECM systems, Secure messaging"
Insurance,Auto Insurance,Подача заявки ДТП,Inbound,"Accident claim filing, initial report","Claims systems, FNOL (First Notice of Loss), Photos/document upload"
Insurance,Auto Insurance,Котировки полиса,Inbound,Getting auto insurance quotes,"Rating engines, Underwriting systems, Quote platforms"
Insurance,Home/Property,Заявка на ущерб,Inbound,"Property damage claims, theft reports","Claims management, Adjuster dispatch, Photo capture"
Insurance,Life Insurance,Информация о полисе,Inbound,"Policy value, beneficiary changes","Policy admin systems, Agent portals"
Automotive,Service Department,Запись на сервис,Inbound,"Scheduling oil changes, repairs, maintenance","DMS (CDK Global, Reynolds & Reynolds, DealerSocket), Service scheduling, Calendar"
Automotive,Service Department,Статус ремонта,Inbound,"Checking repair status, completion time","DMS service module, Work order tracking"
Automotive,Service Department,Цены на сервис,Inbound,"Service pricing inquiries, estimates","DMS pricing, Parts catalogs, Labor guides"
Automotive,Service Department,Гарантийные вопросы,Inbound,Warranty coverage verification,"DMS warranty module, OEM warranty systems"
Automotive,Service Department,Доступность подменного авто,Inbound,"Loaner vehicle availability, rental cars","DMS loaner management, Rental car APIs"
Automotive,Service Department,Напоминания о ТО,Outbound,Maintenance due reminders based on mileage/time,"DMS service history, Customer database, SMS/Voice"
Automotive,Service Department,Подтверждение записи,Outbound,Appointment confirmations 24h before,"DMS appointments, Calendar, SMS"
Automotive,Service Department,Уведомление о готовности,Outbound,Vehicle ready for pickup notifications,"DMS work orders, SMS/Voice platforms"
Automotive,Service Department,Уведомления об отзывах,Outbound,Recall notifications from manufacturer,"OEM recall databases, DMS, Customer records"
Automotive,Sales (BDC),Информация о автомобиле,Inbound,"Vehicle inventory, pricing, features","DMS inventory module, Website integration"
Automotive,Sales (BDC),Запись на тест-драйв,Inbound,Scheduling test drives,"DMS appointment scheduling, Calendar"
Automotive,Sales (BDC),Trade-in оценка,Inbound,Trade-in value inquiries,"DMS appraisal tools, KBB/NADA APIs"
Automotive,Parts Department,Наличие запчастей,Inbound,"Parts availability, pricing","DMS parts module, Parts catalogs, Distributor APIs"
Automotive,Parts Department,Статус заказа запчастей,Inbound,"Parts order status, delivery ETA","DMS parts ordering, Supplier tracking"
Travel & Hospitality,Hotels,Проверка наличия номеров,Inbound,"Room availability, rate inquiries","PMS (Opera, Cloudbeds, Mews), Channel manager, Central reservation system"
Travel & Hospitality,Hotels,Бронирование номера,Inbound,Making new reservations,"PMS, Booking engine, Payment gateway"
Travel & Hospitality,Hotels,Изменение бронирования,Inbound,"Modifying dates, room type, guest count","PMS reservation module, Calendar management"
Travel & Hospitality,Hotels,Отмена бронирования,Inbound,Processing cancellations per policy,"PMS, Payment processing, Refund systems"
Travel & Hospitality,Hotels,Информация об удобствах,Inbound,"Hotel amenities, services, policies","PMS property data, Website content"
Travel & Hospitality,Hotels,Подтверждение бронирования,Outbound,Reservation confirmations,"PMS, Email/SMS platforms"
Travel & Hospitality,Hotels,Предзаездный звонок,Outbound,"Pre-arrival calls, upgrade offers","PMS guest profiles, Upsell platforms"
Travel & Hospitality,Hotels,Опросы после проживания,Outbound,Post-stay satisfaction surveys,"Guest feedback systems, Review platforms"
Travel & Hospitality,Airlines,Статус рейса,Inbound,"Flight status, delays, gate changes","Airline reservation systems, Flight tracking APIs"
Travel & Hospitality,Airlines,Изменение билета,Inbound,"Ticket changes, cancellations","GDS (Amadeus, Sabre), Airline systems"
Travel & Hospitality,Travel Agencies,Информация о пакетах,Inbound,"Package tour information, pricing","Booking systems, GDS, Tour operator platforms"
Travel & Hospitality,Vacation Rentals,Информация о жилье,Inbound,"Property details, availability","Vacation rental software (Guesty, Hostaway), Channel managers"
Logistics & Transportation,Freight & Shipping,Отслеживание отправления,Inbound,"Shipment tracking, delivery ETA","TMS (Transportation Management System: SAP TM, Oracle TMS), Carrier APIs, GPS tracking"
Logistics & Transportation,Freight & Shipping,Статус доставки,Inbound,"Delivery status, location updates","TMS, Real-time tracking, Route optimization"
Logistics & Transportation,Freight & Shipping,Запись на забор,Inbound,Scheduling pickups,"TMS dispatch module, Calendar, Driver apps"
Logistics & Transportation,Freight & Shipping,Изменение адреса,Inbound,"Address changes, delivery instructions","TMS, Route management, Driver communication"
Logistics & Transportation,Freight & Shipping,Запрос документов,Inbound,"POD (Proof of Delivery), customs docs","Document management, EDI systems, Customer portals"
Logistics & Transportation,Freight & Shipping,Вопросы по тарифам,Inbound,"Rate quotes, pricing inquiries","TMS rating engine, Tariff systems"
Logistics & Transportation,Freight & Shipping,Уведомления о доставке,Outbound,"Delivery notifications, attempted delivery alerts","TMS, SMS/Email platforms, Customer notification systems"
Logistics & Transportation,Freight & Shipping,Подтверждение забора,Outbound,Pickup confirmations,"TMS dispatch, Driver routing"
Logistics & Transportation,Last-Mile Delivery,Статус доставки,Inbound,Final mile delivery tracking,"Last-mile platforms (Onfleet, Bringg), GPS tracking"
Logistics & Transportation,Warehousing,Статус заказа,Inbound,Order fulfillment status,"WMS (Warehouse Management System), Inventory tracking"
Beauty & Wellness,Hair Salons,Запись на стрижку,Inbound,Booking haircut appointments,"Salon software (Phorest, Vagaro, Booker, Square Appointments), Calendar"
Beauty & Wellness,Hair Salons,Перезапись,Inbound,"Rescheduling, cancellations","Salon booking systems, SMS notifications"
Beauty & Wellness,Hair Salons,Вопросы о услугах,Inbound,"Service descriptions, pricing",Salon software service catalog
Beauty & Wellness,Hair Salons,Напоминания о визите,Outbound,Appointment reminders to reduce no-shows,"Salon software, SMS/Email automation"
Beauty & Wellness,Spas,Запись на процедуры,Inbound,"Booking spa treatments, massages","Spa management software (Mindbody, Zenoti), Calendar"
Beauty & Wellness,Spas,Информация о пакетах,Inbound,"Spa package information, pricing","Spa software, Service menus"
Beauty & Wellness,Nail Salons,Запись на маникюр,Inbound,Booking nail services,"Booking systems, Calendar"
Beauty & Wellness,Barbershops,Запись к барберу,Inbound,Booking barber appointments,"Barber shop software, Calendar integrations"
Beauty & Wellness,Fitness Studios,Запись на класс,Inbound,"Booking fitness classes, yoga sessions","Studio management (Mindbody, ClassPass), Class scheduling"
Restaurants,Full-Service,Бронирование столика,Inbound,Table reservations,"Reservation systems (OpenTable, Resy, Yelp Reservations), POS integration"
Restaurants,Full-Service,Изменение бронирования,Inbound,"Modifying reservations, party size changes","Reservation platforms, Table management"
Restaurants,Full-Service,Вопросы о меню,Inbound,"Menu inquiries, dietary restrictions","Digital menus, POS menu data"
Restaurants,Full-Service,Время ожидания,Inbound,"Wait time inquiries, waitlist status","Waitlist management (Nowait, Yelp), Host systems"
Restaurants,Full-Service,Подтверждение бронирования,Outbound,Reservation confirmations,"Reservation systems, SMS/Email"
Restaurants,Takeout/Delivery,Размещение заказа,Inbound,Placing takeout orders by phone,"POS systems (Toast, Square, Clover), Online ordering integration"
Restaurants,Takeout/Delivery,Статус заказа,Inbound,Checking order preparation status,"POS, Kitchen display systems, Order tracking"
Restaurants,Takeout/Delivery,Изменение заказа,Inbound,Modifying orders before preparation,"POS, Kitchen management"
Restaurants,Takeout/Delivery,Уведомление о готовности,Outbound,Order ready notifications for pickup,"POS, SMS/Push notification systems"
Restaurants,Fast Food,Заказ через драйв-тру,Inbound,Drive-thru order taking,"POS with drive-thru module, Menu boards"
Restaurants,Catering,Запрос кейтеринга,Inbound,"Catering inquiries, event planning","Catering management software, CRM, Proposal tools"
Legal Services,Law Firms,Первичная консультация,Inbound,"Initial case inquiry, case type classification","Legal CRM (Clio, Lawmatics, Filevine), Intake software (LawRuler)"
Legal Services,Law Firms,Запись на встречу,Inbound,Scheduling consultations with attorneys,"Calendar (Clio Schedule), Attorney availability"
Legal Services,Law Firms,Квалификация дела,Inbound,"Case qualification, information gathering","Legal intake software (Caseopp, LCC), Case management"
Legal Services,Law Firms,Статус дела,Inbound,Case status updates,"Case management systems (Clio Manage, MyCase), Client portals"
Legal Services,Law Firms,Запрос документов,Inbound,Document submission instructions,"Document management, Secure file sharing"
Legal Services,Law Firms,Вопросы по счетам,Inbound,"Billing inquiries, payment arrangements","Legal billing software, Payment processors"
Legal Services,Law Firms,Напоминания о встрече,Outbound,Appointment reminders,"Calendar systems, SMS/Email"
Legal Services,Law Firms,Запрос документов,Outbound,Document request follow-ups,"Document management, Task tracking"
Legal Services,Mass Tort,Скрининг дела,Inbound,High-volume case screening,"Mass tort intake software, Lead management"
Education,Universities,Информация о программах,Inbound,"Degree programs, admission requirements","Student Information System (SIS: Ellucian Banner, Oracle PeopleSoft), CRM (Slate, Salesforce)"
Education,Universities,Статус заявки,Inbound,Application status checks,"Admissions systems, Application portals"
Education,Universities,Финансовая помощь,Inbound,"Financial aid, scholarship inquiries","Financial aid systems, FAFSA integration"
Education,Universities,Запись на тур,Inbound,Campus tour scheduling,"Visit management systems, Calendar"
Education,Universities,Регистрация на курс,Inbound,Course registration assistance,"SIS registration module, Course catalogs"
Education,Universities,Информация о жилье,Inbound,"Housing inquiries, dorm assignments","Housing management systems, Room selection portals"
Education,Universities,Напоминания о дедлайнах,Outbound,Application deadline reminders,"CRM campaigns, Marketing automation"
Education,Universities,Последующие звонки,Outbound,Prospective student follow-up,"CRM, Call center software, Lead tracking"
Education,K-12 Schools,Запись в школу,Inbound,"Enrollment inquiries, registration","School management systems, Registration portals"
Education,K-12 Schools,Информация о отсутствии,Inbound,"Attendance reporting, absence notifications","Student information systems, Attendance tracking"
Education,Online Courses,Техподдержка курса,Inbound,"Course access, technical issues","LMS (Canvas, Moodle, Blackboard), Help desk"
Telecommunications,Mobile/Fixed Line,Оплата счета,Inbound,"Bill payment, balance inquiries","Billing systems (Amdocs, CSG), Payment gateways, IVR"
Telecommunications,Mobile/Fixed Line,Сообщение о сбое,Inbound,"Service outage reporting, network issues","Network management systems, Trouble ticketing"
Telecommunications,Mobile/Fixed Line,Информация о тарифе,Inbound,"Plan information, upgrade options","Product catalogs, CRM, Billing systems"
Telecommunications,Mobile/Fixed Line,Техподдержка,Inbound,"Basic troubleshooting, device issues","Knowledge bases, Diagnostic tools, Remote access"
Telecommunications,Mobile/Fixed Line,Заказ оборудования,Inbound,"Device orders, SIM card requests","Order management, Inventory systems, Shipping"
Telecommunications,Internet/Cable,Проблемы с подключением,Inbound,Internet connectivity troubleshooting,"Network diagnostic tools, Provisioning systems"
Telecommunications,Internet/Cable,Запись на установку,Inbound,Installation appointment scheduling,"Field service management, Technician dispatch"
Utilities,Electric/Gas/Water,Запрос баланса,Inbound,"Account balance, usage inquiries","Utility billing systems (Oracle Utilities, SAP IS-U), Meter data management"
Utilities,Electric/Gas/Water,Старт/стоп услуги,Inbound,"Service connection, disconnection","Customer information systems, Work order management"
Utilities,Electric/Gas/Water,Оплата,Inbound,Bill payment processing,"Payment systems, Multiple payment channels"
Utilities,Electric/Gas/Water,Сообщение о сбое,Inbound,Outage reporting with location,"Outage management systems (OMS), GIS mapping, IVR with location"
Utilities,Electric/Gas/Water,Вопросы по потреблению,Inbound,"Usage pattern inquiries, high bill explanations","Meter data analytics, Customer portals"
Utilities,Electric/Gas/Water,Запись на визит,Inbound,"Meter reading, service appointments","Field service management, Scheduling"
Utilities,Electric/Gas/Water,Уведомления о сбое,Outbound,"Outage notifications, restoration updates","OMS, Mass notification systems, SMS/Voice"
Utilities,Electric/Gas/Water,Напоминания об оплате,Outbound,"Bill due reminders, disconnect warnings","Billing systems, Collections management"
Home Services,HVAC,Экстренный ремонт,Inbound,Emergency heating/cooling service,"Field service management (ServiceTitan, Jobber, Housecall Pro), Dispatch"
Home Services,HVAC,Запись на сервис,Inbound,"Scheduling maintenance, repairs","FSM software, Calendar, Technician scheduling"
Home Services,HVAC,Запрос цены,Inbound,"Service pricing, estimates","Pricing databases, Quote tools"
Home Services,HVAC,Проверка зоны обслуживания,Inbound,Service area verification,"GIS mapping, Coverage databases"
Home Services,HVAC,Напоминания о ТО,Outbound,Seasonal maintenance reminders,"FSM customer database, Marketing automation"
Home Services,Plumbing,Экстренный вызов,Inbound,Emergency plumbing service,"FSM dispatch, GPS routing"
Home Services,Plumbing,Запись на ремонт,Inbound,Scheduling plumbing repairs,"FSM scheduling, Calendar"
Home Services,Electrical,Экстренная электрика,Inbound,Emergency electrical service,"FSM dispatch, Priority routing"
Home Services,Electrical,Запись на работы,Inbound,Scheduling electrical work,"FSM, Permit tracking"
Home Services,Cleaning,Запись на уборку,Inbound,Scheduling cleaning services,"Cleaning software (ZenMaid, Housecall Pro), Route optimization"
Fitness & Gyms,Gyms,Информация о членстве,Inbound,"Membership plans, pricing","Gym management (Mindbody, ClubReady, Glofox), Membership databases"
Fitness & Gyms,Gyms,Запись на класс,Inbound,Booking fitness classes,"Class scheduling, Capacity management"
Fitness & Gyms,Gyms,Отмена записи,Inbound,"Class cancellations, membership holds","Membership management, Billing"
Fitness & Gyms,Gyms,Запись на тур,Inbound,Scheduling facility tours,"CRM, Tour scheduling, Sales tracking"
Fitness & Gyms,Gyms,Гостевой пропуск,Inbound,Guest pass requests,"Access control systems, Visitor management"
Fitness & Gyms,Gyms,Напоминания о классе,Outbound,"Class reminders, waitlist notifications","Class management, SMS/Push notifications"
Fitness & Gyms,Personal Training,Запись к тренеру,Inbound,Personal training session booking,"Trainer scheduling, Calendar"
Veterinary,Clinics,Запись на прием,Inbound,Scheduling vet appointments,"Veterinary software (Avimark, ezyVet, VetEnvi), Appointment scheduling"
Veterinary,Clinics,Рецепты для животных,Inbound,Pet prescription refills,"Veterinary systems, Pharmacy integration"
Veterinary,Clinics,Экстренный триаж,Inbound,Emergency pet care assessment,"Triage protocols, Emergency scheduling"
Veterinary,Clinics,Общие вопросы,Inbound,General pet health questions,"Knowledge bases, Pet care info"
Veterinary,Clinics,Напоминания о визите,Outbound,"Appointment reminders, vaccination due","Veterinary software, Automated reminders"
Veterinary,Clinics,Напоминания о вакцинации,Outbound,Vaccination schedule reminders,"Pet health records, Reminder systems"
Professional Services,Accounting,Запрос консультации,Inbound,Initial consultation scheduling,"Practice management (Karbon, Jetpack Workflow), CRM"
Professional Services,Accounting,Запись на встречу,Inbound,Appointment scheduling with accountant,"Calendar systems, Client portals"
Professional Services,Accounting,Инструкции по документам,Inbound,Document submission guidance,"Document management (ShareFile, SmartVault), Secure portals"
Professional Services,Accounting,Вопросы по счетам,Inbound,Billing inquiries,"Accounting software, Invoicing systems"
Professional Services,Consulting,Запрос консультации,Inbound,Consultation inquiries,"CRM, Proposal software"
Professional Services,Consulting,Запись на встречу,Inbound,Meeting scheduling,"Calendar, Video conferencing integration"
Recruiting & HR,Recruiting Agencies,Информация о вакансии,Inbound,Job opening information,"ATS (Applicant Tracking System: Greenhouse, Lever, iCIMS), Job boards"
Recruiting & HR,Recruiting Agencies,Статус заявки,Inbound,Application status inquiries,ATS candidate tracking
Recruiting & HR,Recruiting Agencies,Запись на собеседование,Inbound,Interview scheduling,"ATS scheduling, Calendar, Video interview platforms"
Recruiting & HR,Recruiting Agencies,Первичный скрининг,Inbound,Initial candidate screening questions,"ATS screening forms, Automated qualification"
Recruiting & HR,Recruiting Agencies,Напоминания о собеседовании,Outbound,"Interview reminders, preparation instructions","ATS, SMS/Email, Calendar invites"
Recruiting & HR,Recruiting Agencies,Последующие звонки,Outbound,"Candidate follow-up, status updates","ATS, Candidate communication logs"
Recruiting & HR,Corporate HR,Вопросы сотрудников,Inbound,"Employee inquiries, HR questions","HRIS (Workday, BambooHR, ADP), Employee self-service"
Property Management,Residential,Заявка на ремонт,Inbound,Tenant maintenance requests,"Property management software (AppFolio, Buildium, Propertyware), Work order systems"
Property Management,Residential,Вопросы по аренде,Inbound,"Rent payment inquiries, lease questions","Property management systems, Payment portals, Lease management"
Property Management,Residential,Запись на просмотр,Inbound,Property showing scheduling,"Showing software, Calendar, Lockbox systems"
Property Management,Residential,Экстренная маршрутизация,Inbound,Emergency maintenance routing,"On-call systems, Vendor dispatch, Priority protocols"
Property Management,Commercial,Информация о помещениях,Inbound,Commercial space inquiries,"Commercial property software, CRM"
Dental,Dental Offices,Запись к стоматологу,Inbound,Scheduling dental appointments,"Dental practice management (Dentrix, Eaglesoft, Open Dental), Calendar"
Dental,Dental Offices,Верификация страховки,Inbound,Dental insurance verification,"Insurance verification systems, Dental software insurance modules"
Dental,Dental Offices,Информация о процедурах,Inbound,"Treatment information, pricing","Treatment planning tools, Fee schedules"
Dental,Dental Offices,Напоминания о визитах,Outbound,Appointment reminders to reduce no-shows,"Dental PM systems, Automated reminder services"
Dental,Orthodontics,Консультация по брекетам,Inbound,Orthodontic consultation scheduling,"Ortho software, Treatment planning"
Government,DMV/Motor Vehicles,Запись в DMV,Inbound,DMV appointment scheduling,"Government scheduling systems, Queue management"
Government,DMV/Motor Vehicles,Информация о лицензии,Inbound,License/permit information,"DMV databases, State systems"
Government,Permits & Licensing,Запрос разрешения,Inbound,"Permit inquiries, application status","Permit tracking systems, Case management"
Government,Social Services,Информация о программах,Inbound,"Program eligibility, benefits information","Benefits management systems, Eligibility systems"
Government,Public Services,Статус заявления,Inbound,Application status checks,"Case management, Document tracking"
IT Support,Help Desk,Сброс пароля,Inbound,Password reset requests,"Active Directory, IAM systems, MFA platforms"
IT Support,Help Desk,Создание тикета,Inbound,IT ticket submission,"Help desk software (ServiceNow, Zendesk, Jira Service Management), Ticketing systems"
IT Support,Help Desk,Базовая диагностика,Inbound,Basic troubleshooting,"Knowledge bases, Remote access tools, Diagnostic scripts"
IT Support,Help Desk,Вопросы о ПО,Inbound,"Software inquiries, license questions","Software asset management, License tracking"
IT Support,Help Desk,Статус тикета,Inbound,Ticket status updates,"Help desk systems, Status tracking"
IT Support,Managed Services,Мониторинг систем,Inbound,System monitoring alerts,"RMM tools (ConnectWise, Datto), Monitoring platforms"
Entertainment,Theaters/Venues,Информация о событии,Inbound,"Event information, show times","Ticketing systems (Ticketmaster, Eventbrite, AXS), Event management"
Entertainment,Theaters/Venues,Наличие билетов,Inbound,Ticket availability inquiries,"Ticketing platforms, Seating charts"
Entertainment,Theaters/Venues,Бронирование/покупка,Inbound,"Ticket booking, purchases","Ticketing systems, Payment processing, Seat selection"
Entertainment,Theaters/Venues,Информация о местах,Inbound,"Seating information, accessibility","Venue mapping, Seating databases"
Entertainment,Theaters/Venues,Напоминания о событии,Outbound,"Event reminders, show time notifications","Ticketing systems, SMS/Email platforms"
Entertainment,Movie Theaters,Расписание сеансов,Inbound,"Movie showtimes, ticket availability","Cinema management systems, Ticket sales"
Entertainment,Concerts/Events,Групповые бронирования,Inbound,Group ticket inquiries,"Group sales systems, CRM"